2019-10-19_14:01:06,28.187
2019-10-19_14:01:08,28.187
2019-10-19_14:01:10,28.187
2019-10-19_14:01:12,28.187
2019-10-19_14:01:14,28.125
2019-10-19_14:01:16,28.125
2019-10-19_14:01:18,28.062
2019-10-19_14:01:20,28.062
2019-10-19_14:01:22,28.125
2019-10-19_14:01:24,28.125
2019-10-19_14:01:26,28.125
2019-10-19_14:01:29,28.187
2019-10-19_14:01:30,28.25
2019-10-19_14:01:32,28.25
2019-10-19_14:01:34,28.312
2019-10-19_14:01:36,28.375
2019-10-19_14:01:38,28.437
2019-10-19_14:01:40,28.562
2019-10-19_14:01:42,28.625
2019-10-19_14:01:44,28.75
2019-10-19_14:01:46,28.875
2019-10-19_14:01:48,29.0
2019-10-19_14:01:50,29.125
2019-10-19_14:01:53,29.187
2019-10-19_14:01:54,29.187
2019-10-19_14:01:56,29.25
2019-10-19_14:01:58,29.312
2019-10-19_14:02:00,29.375
2019-10-19_14:02:02,29.375
2019-10-19_14:02:04,29.5
2019-10-19_14:02:06,29.562
2019-10-19_14:02:08,29.687
2019-10-19_14:02:10,29.75
2019-10-19_14:02:12,29.875
2019-10-19_14:02:14,29.937
2019-10-19_14:02:17,30.125
2019-10-19_14:02:18,30.187
2019-10-19_14:02:20,30.25
2019-10-19_14:02:22,30.375
2019-10-19_14:02:24,30.437
2019-10-19_14:02:26,30.562
2019-10-19_14:02:28,30.625
2019-10-19_14:02:30,30.75
2019-10-19_14:02:32,30.812
2019-10-19_14:02:34,30.937
2019-10-19_14:02:36,31.062
2019-10-19_14:02:38,31.125
2019-10-19_14:02:41,31.312
2019-10-19_14:02:42,31.375
2019-10-19_14:02:44,31.437
2019-10-19_14:02:46,31.562
2019-10-19_14:02:48,31.687
2019-10-19_14:02:50,31.812
2019-10-19_14:02:52,31.875
2019-10-19_14:02:54,32.0
2019-10-19_14:02:56,32.125
2019-10-19_14:02:58,32.187
2019-10-19_14:03:00,32.312
2019-10-19_14:03:02,32.375
2019-10-19_14:03:05,32.562
2019-10-19_14:03:06,32.625
2019-10-19_14:03:08,32.687
2019-10-19_14:03:10,32.812
2019-10-19_14:03:12,32.937
2019-10-19_14:03:14,33.0
2019-10-19_14:03:16,33.125
2019-10-19_14:03:18,33.25
2019-10-19_14:03:20,33.312
2019-10-19_14:03:22,33.437
2019-10-19_14:03:24,33.5
2019-10-19_14:03:26,33.625
2019-10-19_14:03:29,33.75
2019-10-19_14:03:30,33.812
2019-10-19_14:03:32,33.937
2019-10-19_14:03:34,34.0
2019-10-19_14:03:36,34.125
2019-10-19_14:03:38,34.187
2019-10-19_14:03:40,34.312
2019-10-19_14:03:42,34.437
2019-10-19_14:03:44,34.5
2019-10-19_14:03:46,34.625
2019-10-19_14:03:48,34.75
2019-10-19_14:03:50,34.812
2019-10-19_14:03:53,34.937
2019-10-19_14:03:54,35.0
2019-10-19_14:03:56,35.125
2019-10-19_14:03:58,35.187
2019-10-19_14:04:00,35.312
2019-10-19_14:04:02,35.375
2019-10-19_14:04:04,35.437
2019-10-19_14:04:06,35.5
2019-10-19_14:04:08,35.625
2019-10-19_14:04:10,35.687
2019-10-19_14:04:12,35.75
2019-10-19_14:04:14,35.812
2019-10-19_14:04:17,35.875
2019-10-19_14:04:18,35.875
2019-10-19_14:04:20,35.875
2019-10-19_14:04:22,35.937
2019-10-19_14:04:24,35.937
2019-10-19_14:04:26,35.937
2019-10-19_14:04:28,35.937
2019-10-19_14:04:30,35.937
2019-10-19_14:04:32,35.937
2019-10-19_14:04:34,35.937
2019-10-19_14:04:36,35.937
2019-10-19_14:04:38,35.937
2019-10-19_14:04:41,35.875
2019-10-19_14:04:42,35.875
2019-10-19_14:04:44,35.875
2019-10-19_14:04:46,35.875
2019-10-19_14:04:48,35.812
2019-10-19_14:04:50,35.812
2019-10-19_14:04:52,35.75
2019-10-19_14:04:54,35.75
2019-10-19_14:04:56,35.75
2019-10-19_14:04:58,35.687
2019-10-19_14:05:00,35.687
2019-10-19_14:05:02,35.625
2019-10-19_14:05:05,35.562
2019-10-19_14:05:06,35.562
2019-10-19_14:05:08,35.562
2019-10-19_14:05:10,35.562
2019-10-19_14:05:12,35.5
2019-10-19_14:05:14,35.5
2019-10-19_14:05:16,35.437
2019-10-19_14:05:18,35.437
2019-10-19_14:05:20,35.437
2019-10-19_14:05:23,35.375
2019-10-19_14:05:24,35.375
2019-10-19_14:05:26,35.375
2019-10-19_14:05:29,35.312
2019-10-19_14:05:30,35.312
2019-10-19_14:05:32,35.312
2019-10-19_14:05:34,35.25
2019-10-19_14:05:36,35.25
2019-10-19_14:05:38,35.25
2019-10-19_14:05:40,35.25
2019-10-19_14:05:42,35.25
2019-10-19_14:05:44,35.25
2019-10-19_14:05:46,35.25
2019-10-19_14:05:48,35.25
2019-10-19_14:05:50,35.25
2019-10-19_14:05:53,35.25
2019-10-19_14:05:54,35.25
2019-10-19_14:05:56,35.25
