0, 0.000
2, 0.000
4, 0.039
17, 0.058
27, 0.084
37, 0.121
47, 0.175
59, 0.250
64, 0.286
68, 0.313
72, 0.360
78, 0.425
83, 0.478
88, 0.532
92, 0.568
98, 0.647
103, 0.745
108, 0.793
112, 0.835
122, 0.969
127, 1.090
132, 1.134
138, 1.170
142, 1.236
148, 1.230
152, 1.278
158, 1.248
162, 1.242
168, 1.251
172, 1.344
178, 1.356
182, 1.365
187, 1.368
